Full Name,Start Date,End Date,Date of Death
George Washington,1789-04-30,1797-03-04,1799-12-14
John Adams,1797-03-04,1801-03-04,1826-07-04
Thomas Jefferson,1801-03-04,1809-03-04,1826-07-04
James Madison,1809-03-04,1817-03-04,1836-06-28
James Monroe,1817-03-04,1825-03-04,1831-07-04
John Quincy Adams,1825-03-04,1829-03-04,1848-02-23
Andrew Jackson,1829-03-04,1837-03-04,1845-06-08
Martin Van Buren,1837-03-04,1841-03-04,1862-07-24
William Henry Harrison,1841-03-04,1841-04-04,1841-04-04
John Tyler,1841-04-04,1845-03-04,1862-01-18
James K. Polk,1845-03-04,1849-03-04,1849-06-15
Zachary Taylor,1849-03-04,1850-07-09,1850-07-09
Millard Fillmore,1850-07-09,1853-03-04,1874-03-08
Franklin Pierce,1853-03-04,1857-03-04,1869-10-08
James Buchanan,1857-03-04,1861-03-04,1868-06-01
Abraham Lincoln,1861-03-04,1865-04-15,1865-04-15
Andrew Johnson,1865-04-15,1869-03-04,1875-07-31
Ulysses S. Grant,1869-03-04,1877-03-04,1885-07-23
Rutherford B. Hayes,1877-03-04,1881-03-04,1893-01-17
James A. Garfield,1881-03-04,1881-09-19,1881-09-19
Chester A. Arthur,1881-09-19,1885-03-04,1886-11-18
Grover Cleveland,1885-03-04,1889-03-04,1908-06-24
Benjamin Harrison,1889-03-04,1893-03-04,1901-03-13
Grover Cleveland,1893-03-04,1897-03-04,1908-06-24
William McKinley,1897-03-04,1901-09-14,1901-09-14
Theodore Roosevelt,1901-09-14,1909-03-04,1919-01-06
William Howard Taft,1909-03-04,1913-03-04,1930-03-08
Woodrow Wilson,1913-03-04,1921-03-04,1924-02-03
Warren G. Harding,1921-03-04,1923-08-02,1923-08-02
Calvin Coolidge,1923-08-02,1929-03-04,1933-01-05
Herbert Hoover,1929-03-04,1933-03-04,1964-10-20
Franklin D. Roosevelt,1933-03-04,1945-04-12,1945-04-12
Harry S. Truman,1945-04-12,1953-01-20,1972-12-26
Dwight D. Eisenhower,1953-01-20,1961-01-20,1969-03-28
John F. Kennedy,1961-01-20,1963-11-22,1963-11-22
Lyndon B. Johnson,1963-11-22,1969-01-20,1973-01-22
Richard Nixon,1969-01-20,1974-08-09,1994-04-22
Gerald Ford,1974-08-09,1977-01-20,2006-12-26
Jimmy Carter,1977-01-20,1981-01-20,
Ronald Reagan,1981-01-20,1989-01-20,2004-06-05
George H. W. Bush,1989-01-20,1993-01-20,2018-11-30
Bill Clinton,1993-01-20,2001-01-20,
George W. Bush,2001-01-20,2009-01-20,
Barack Obama,2009-01-20,2017-01-20,
Donald J. Trump,2017-01-20,2021-01-20,
Joe Biden,2021-01-20,,
